"t","Ta","Tinner","Touter","Pinner","Pouter"
1706106510,23,63.2675,63.5735,0,0
1706106520,23,63.1444,63.409,0,0
1706106530,23,63.0181,63.2803,0,0
1706106540,23,62.9196,63.1404,0,0
1706106550,23.033,62.8338,62.9721,0,0
1706106560,23.06,62.7045,62.8472,0,0
1706106570,23.06,62.5997,62.7175,0,0
1706106580,23.06,62.5174,62.5903,0,0
1706106590,23.027,62.4196,62.4504,0,0
1706106600,23,62.3338,62.2821,0,0
1706106610,23,62.2045,62.1572,0,0
1706106620,23,62.0781,62.0303,0,0
1706106630,23,61.9796,61.9072,0,0
1706106640,23,61.8938,61.7803,0,0
1706106650,23,61.7681,61.6572,0,0
1706106660,23,61.666,61.5303,0,0
1706106670,23,61.5775,61.3904,0,0
1706106680,22.967,61.458,61.2193,0,0
1706106690,22.973,61.356,61.0903,0,0
1706106700,23,61.2675,60.97,0,0
1706106710,22.967,61.1444,60.8472,0,0
1706106720,22.94,61.0181,60.7175,0,0
1706106730,22.94,60.9196,60.5903,0,0
1706106740,22.94,60.8338,60.47,0,0
1706106750,22.94,60.7045,60.3472,0,0
1706106760,22.94,60.5997,60.2175,0,0
1706106770,22.94,60.5174,60.0903,0,0
1706106780,22.973,60.3944,59.9868,0,0
1706106790,23,60.2897,59.9054,0,0
1706106800,22.967,60.2038,59.7803,0,0
1706106810,22.94,60.0997,59.6572,0,0
1706106820,22.94,60.0174,59.5303,0,0
1706106830,22.94,59.8944,59.4072,0,0
1706106840,22.94,59.7897,59.2803,0,0
1706106850,22.94,59.7038,59.1572,0,0
1706106860,22.94,59.5781,59.0303,0,0
1706106870,22.94,59.4796,58.9268,0,0
1706106880,22.94,59.3938,58.8454,0,0
1706106890,22.94,59.2681,58.7175,0,0
1706106900,22.94,59.166,58.5903,0,0
1706106910,22.94,59.0775,58.4868,0,0
1706106920,22.94,58.9796,58.4054,0,0
1706106930,22.94,58.8938,58.2803,0,0
1706106940,22.94,58.7681,58.1572,0,0
1706106950,22.907,58.666,58.0471,0,0
1706106960,22.913,58.5775,57.9682,0,0
1706106970,22.907,58.4796,57.8472,0,0
1706106980,22.913,58.3938,57.7371,0,0
1706106990,22.94,58.2681,57.6554,0,0
1706107000,22.907,58.166,57.5303,0,0
1706107010,22.913,58.0775,57.4072,0,0
1706107020,22.94,57.9796,57.2971,0,0
1706107030,22.94,57.8938,57.2154,0,0
1706107040,22.94,57.7897,57.1071,0,0
1706107050,22.907,57.7038,57.0282,0,0
1706107060,22.88,57.5781,56.9072,0,0
1706107070,22.88,57.4796,56.7971,0,0
1706107080,22.913,57.3938,56.7154,0,0
1706107090,22.94,57.2897,56.5903,0,0
1706107100,22.907,57.2038,56.4868,0,0
1706107110,22.88,57.0565,56.4054,0,0
